'august 14 1733', '1733-08-14'
'september 29 1642', '1642-09-29'
'december 12 1685', '1685-12-12'
'1818 9 november', '1818-11-09'
'sunday 1733 6 12', '1733-12-06'
'may 2 1736', '1736-05-02'
'june 19 1610', '1610-06-19'
'friday 28 march 1902', '1902-03-28'
'thu 22 oct 1936', '1936-10-22'
'17 october 1639', '1639-10-17'
'jul 22 1945', '1945-07-22'
'jul 14 1731', '1731-07-14'
'1788 5 march', '1788-03-05'
'march 11 1698', '1698-03-11'
'october 1 1953', '1953-10-01'
'january 22 1974', '1974-01-22'
'1817 23 february', '1817-02-23'
'14 january 1740', '1740-01-14'
'thursday june 4 1863', '1863-06-04'
'19 february 1638', '1638-02-19'
'jun 17 1800', '1800-06-17'
'monday 7 december 1992', '1992-12-07'
'april 3 1892', '1892-04-03'
'19 march 2067', '2067-03-19'
'13 mar 1863', '1863-03-13'
'sep 16 2017', '2017-09-16'
'february 24 1976', '1976-02-24'
'28/08/1848', '1848-08-28'
'2027 20 jul', '2027-07-20'
'tue 2007 23 october', '2007-10-23'
'thursday 27 february 2053', '2053-02-27'
'mar 18 1690', '1690-03-18'
'april 9 1805', '1805-04-09'
'15 september 1803', '1803-09-15'
'september 22 1821', '1821-09-22'
'3/1/82', '1682-03-01'
'sunday 1706 21 11', '1706-11-21'
'december 7 1935', '1935-12-07'
'march 18 1906', '1906-03-18'
'1 apr 1539', '1539-04-01'
'22 mar 1717', '1717-03-22'
'thursday 1976 22 01', '1976-01-22'
'thu 2017 12 january', '2017-01-12'
'dec 3 1776', '1776-12-03'
'friday 7 november 1608', '1608-11-07'
'2016 16 may', '2016-05-16'
'sunday february 1 1693', '1693-02-01'
'1665 17 april', '1665-04-17'
'sun 7 nov 1886', '1886-11-07'
'apr 13 1580', '1580-04-13'
'sep 24 1759', '1759-09-24'
'16 october 1863', '1863-10-16'
'21 november 1630', '1630-11-21'
'monday 1948 27 12', '1948-12-27'
'june 29 1697', '1697-06-29'
'february 24 1784', '1784-02-24'
'thursday 1569 20 11', '1569-11-20'
'sun 28 mar 1632', '1632-03-28'
'2007 20 december', '2007-12-20'
'5/19/87', '1587-05-19'
'july 20 1821', '1821-07-20'
'may 15 1750', '1750-05-15'
'jun 8 1560', '1560-06-08'
'21 april 2052', '2052-04-21'
'19 jan 1758', '1758-01-19'
'apr 25 1932', '1932-04-25'
'3 march 2024', '2024-03-03'
'may 16 1677', '1677-05-16'
'dec 11 1769', '1769-12-11'
'29/06/2040', '2040-06-29'
'thursday july 28 1864', '1864-07-28'
'august 6 1528', '1528-08-06'
'june 18 1895', '1895-06-18'
'apr 25 1905', '1905-04-25'
'september 13 1876', '1876-09-13'
'april 2 1817', '1817-04-02'
'1825 28 april', '1825-04-28'
'aug 16 1921', '1921-08-16'
'saturday october 20 1573', '1573-10-20'
'september 23 1550', '1550-09-23'
'2062 1 oct', '2062-10-01'
'2 nov 1711', '1711-11-02'
'21 april 1943', '1943-04-21'
'march 2 1969', '1969-03-02'
'march 20 2026', '2026-03-20'
'23 january 1556', '1556-01-23'
'25 november 1590', '1590-11-25'
'september 13 1771', '1771-09-13'
'saturday february 3 1573', '1573-02-03'
'december 11 1853', '1853-12-11'
'8 aug 1871', '1871-08-08'
'september 28 1556', '1556-09-28'
'wednesday 24 april 1568', '1568-04-24'
'friday 22 september 1572', '1572-09-22'
'thu 1781 24 may', '1781-05-24'
'sat 26 apr 1924', '1924-04-26'
'friday august 8 1738', '1738-08-08'
'wednesday march 22 2017', '2017-03-22'
'2 august 1643', '1643-08-02'
'march 27 1620', '1620-03-27'
'apr 16 1778', '1778-04-16'
'thursday may 22 2025', '2025-05-22'
'1653 27 jul', '1653-07-27'
'february 4 1830', '1830-02-04'
'april 5 1702', '1702-04-05'
'8 december 1733', '1733-12-08'
'1780 23 march', '1780-03-23'
'friday june 28 1889', '1889-06-28'
'tuesday 20 september 1825', '1825-09-20'
'12/23/92', '1992-12-23'
'2 july 1539', '1539-07-02'
'tuesday 1899 28 11', '1899-11-28'
'may 17 1780', '1780-05-17'
'november 8 1751', '1751-11-08'
'11 september 1689', '1689-09-11'
'sat 6 mar 1813', '1813-03-06'
'november 27 1887', '1887-11-27'
'1580 23 april', '1580-04-23'
'friday 1564 2 10', '1564-10-02'
'nov 29 1706', '1706-11-29'
'10 march 1563', '1563-03-10'
'wednesday april 27 1983', '1983-04-27'
'mar 22 1779', '1779-03-22'
'nov 15 1613', '1613-11-15'
'monday 29 may 1679', '1679-05-29'
'11 march 1888', '1888-03-11'
'november 24 1613', '1613-11-24'
'wednesday january 26 1583', '1583-01-26'
'24 march 1620', '1620-03-24'
'wednesday 1568 26 06', '1568-06-26'
'22 march 1903', '1903-03-22'
'friday july 1 1803', '1803-07-01'
'september 21 1918', '1918-09-21'
'14 april 1595', '1595-04-14'
'saturday 1907 16 03', '1907-03-16'
'1659 14 feb', '1659-02-14'
'saturday december 14 1630', '1630-12-14'
'29 apr 1788', '1788-04-29'
'friday september 21 1703', '1703-09-21'
'5 may 1775', '1775-05-05'
'sat 1932 23 january', '1932-01-23'
'jun 25 1920', '1920-06-25'
'november 21 1611', '1611-11-21'
'thursday 1550 23 11', '1550-11-23'
'wed 10 nov 1723', '1723-11-10'
'3/25/34', '1934-03-25'
'april 3 1744', '1744-04-03'
'wed 1950 18 october', '1950-10-18'
'april 3 1547', '1547-04-03'
'10/13/40', '1940-10-13'
'8 may 1918', '1918-05-08'
'07/05/1533', '1533-05-07'
'fri 1917 16 march', '1917-03-16'
'1 march 1740', '1740-03-01'
'9 january 1977', '1977-01-09'
'22 jun 1941', '1941-06-22'
'dec 20 2052', '2052-12-20'
'dec 31 1669', '1669-12-31'
'23 august 1873', '1873-08-23'
'monday december 1 1862', '1862-12-01'
'monday 9 july 1923', '1923-07-09'
'11 june 1864', '1864-06-11'
'11 september 1600', '1600-09-11'
'1975 26 oct', '1975-10-26'
'february 9 1586', '1586-02-09'
'wednesday 12 october 1718', '1718-10-12'
'february 11 1697', '1697-02-11'
'jul 11 1823', '1823-07-11'
'tuesday june 2 1846', '1846-06-02'
'19 february 1575', '1575-02-19'
'saturday january 14 1956', '1956-01-14'
'25 june 1703', '1703-06-25'
'monday july 11 2044', '2044-07-11'
'wednesday february 20 1985', '1985-02-20'
'oct 28 1736', '1736-10-28'
'jun 29 2024', '2024-06-29'
'1660 15 december', '1660-12-15'
'mon 1934 23 july', '1934-07-23'
'23 may 1752', '1752-05-23'
'thu 1791 16 june', '1791-06-16'
'june 19 1780', '1780-06-19'
'january 27 2069', '2069-01-27'
'31 december 1694', '1694-12-31'
'april 8 1972', '1972-04-08'
'saturday 21 february 1976', '1976-02-21'
'sat 2028 25 march', '2028-03-25'
'tuesday march 12 1591', '1591-03-12'
'thu 11 apr 1568', '1568-04-11'
'4/9/98', '1898-04-09'
'july 21 1831', '1831-07-21'
'8 march 1609', '1609-03-08'
'1592 3 apr', '1592-04-03'
'wednesday 26 october 1910', '1910-10-26'
'apr 15 2043', '2043-04-15'
'10 mar 1758', '1758-03-10'
'aug 12 1965', '1965-08-12'
'september 2 2041', '2041-09-02'
'friday february 11 1814', '1814-02-11'
'saturday 19 january 1929', '1929-01-19'
'tue 8 jun 1954', '1954-06-08'
'february 20 1745', '1745-02-20'
'august 4 1934', '1934-08-04'
'thursday may 5 1538', '1538-05-05'
'mon 1954 16 august', '1954-08-16'
'24 aug 1855', '1855-08-24'
'17 april 1897', '1897-04-17'
'november 15 1575', '1575-11-15'
'1700 24 feb', '1700-02-24'
'october 24 1664', '1664-10-24'
'4/16/85', '1985-04-16'
'wednesday november 20 1816', '1816-11-20'
'6 june 1831', '1831-06-06'
'1570 1 oct', '1570-10-01'
'monday september 16 1889', '1889-09-16'
'02/07/1539', '1539-07-02'
'jan 22 1984', '1984-01-22'
'march 12 1743', '1743-03-12'
'mar 23 1906', '1906-03-23'
'sep 21 1560', '1560-09-21'
'june 17 1661', '1661-06-17'
'wed 30 aug 1848', '1848-08-30'
'sep 3 1777', '1777-09-03'
'1927 24 july', '1927-07-24'
'may 26 1993', '1993-05-26'
'nov 20 1560', '1560-11-20'
'saturday october 6 1832', '1832-10-06'
'november 16 1894', '1894-11-16'
'sunday july 16 1797', '1797-07-16'
'22 september 1647', '1647-09-22'
'thu 1911 2 february', '1911-02-02'
'friday october 11 1839', '1839-10-11'
'1922 27 nov', '1922-11-27'
'1824 2 march', '1824-03-02'
'may 10 1584', '1584-05-10'
'fri 1938 29 april', '1938-04-29'
'25 jun 1976', '1976-06-25'
'tuesday august 4 1942', '1942-08-04'
'03/04/1849', '1849-04-03'
'january 19 1656', '1656-01-19'
'september 5 2034', '2034-09-05'
'1664 25 nov', '1664-11-25'
'mar 6 1771', '1771-03-06'
'jan 21 2058', '2058-01-21'
'16 october 1991', '1991-10-16'
'march 26 2041', '2041-03-26'
'october 6 1851', '1851-10-06'
'november 9 1765', '1765-11-09'
'monday 1772 30 11', '1772-11-30'
'apr 19 1741', '1741-04-19'
'11 february 1862', '1862-02-11'
'27 march 1872', '1872-03-27'
'friday 1794 11 07', '1794-07-11'
'fri 28 may 1751', '1751-05-28'
'13 september 1539', '1539-09-13'
'2069 29 january', '2069-01-29'
'fri 17 nov 1561', '1561-11-17'
'20/10/1686', '1686-10-20'
'wed 10 sep 1524', '1524-09-10'
'1615 19 july', '1615-07-19'
'1597 15 aug', '1597-08-15'
'19 april 1618', '1618-04-19'
'jan 12 1961', '1961-01-12'
'3/29/51', '1951-03-29'
'28 july 1769', '1769-07-28'
'july 21 2053', '2053-07-21'
'march 19 1884', '1884-03-19'
'jul 26 1748', '1748-07-26'
'1875 24 february', '1875-02-24'
'wednesday 1804 7 03', '1804-03-07'
'1808 8 apr', '1808-04-08'
'tuesday 1669 8 01', '1669-01-08'
'23 december 1872', '1872-12-23'
'friday july 10 1953', '1953-07-10'
'1 january 1900', '1900-01-01'
'thursday december 14 1713', '1713-12-14'
'monday march 19 1562', '1562-03-19'
'17 june 1654', '1654-06-17'
'aug 1 1615', '1615-08-01'
'3 september 2049', '2049-09-03'
'4/1/33', '1933-04-01'
'3 july 1850', '1850-07-03'
'may 26 1765', '1765-05-26'
'3 february 1960', '1960-02-03'
'october 20 1984', '1984-10-20'
'dec 23 1786', '1786-12-23'
'monday 1672 24 10', '1672-10-24'
'3 september 1697', '1697-09-03'
'april 4 1819', '1819-04-04'
'22 april 1960', '1960-04-22'
'thursday 1549 10 02', '1549-02-10'
'7/22/22', '1722-07-22'
'sunday december 11 1825', '1825-12-11'
'08/11/1781', '1781-11-08'
'october 20 1530', '1530-10-20'
'may 18 1674', '1674-05-18'
'sep 10 1944', '1944-09-10'
'30 june 1836', '1836-06-30'
'december 21 1649', '1649-12-21'
'december 31 1819', '1819-12-31'
'mar 26 1749', '1749-03-26'
'sun 2011 9 october', '2011-10-09'
'1631 9 september', '1631-09-09'
'august 3 2001', '2001-08-03'
'nov 16 1585', '1585-11-16'
'tue 1716 13 october', '1716-10-13'
'sunday july 31 1881', '1881-07-31'
'29 july 1702', '1702-07-29'
'june 19 1703', '1703-06-19'
'september 8 1879', '1879-09-08'
'june 26 1789', '1789-06-26'
'18 december 1569', '1569-12-18'
'july 1 1923', '1923-07-01'
'16 may 1785', '1785-05-16'
'sunday december 22 1957', '1957-12-22'
'sunday november 28 2038', '2038-11-28'
'may 5 1899', '1899-05-05'
'jan 4 1765', '1765-01-04'
'16 jan 2016', '2016-01-16'
'nov 24 1616', '1616-11-24'
'4 december 2035', '2035-12-04'
'april 6 1743', '1743-04-06'
'monday 25 december 1656', '1656-12-25'
'sunday march 1 1868', '1868-03-01'
'27 march 1552', '1552-03-27'
'1797 30 november', '1797-11-30'
'may 20 2049', '2049-05-20'
'jan 24 1656', '1656-01-24'
'fri 29 apr 1555', '1555-04-29'
'3 september 1760', '1760-09-03'
'aug 12 1570', '1570-08-12'
'1535 18 oct', '1535-10-18'
'17 october 1873', '1873-10-17'
'saturday 1641 23 11', '1641-11-23'
'september 20 1762', '1762-09-20'
'21 october 1605', '1605-10-21'
'friday december 2 1639', '1639-12-02'
'august 27 2008', '2008-08-27'
'13/04/1657', '1657-04-13'
'sep 2 1958', '1958-09-02'
'2004 4 september', '2004-09-04'
'march 2 2062', '2062-03-02'
'saturday february 16 1619', '1619-02-16'
'march 28 1549', '1549-03-28'
'tue 1922 3 january', '1922-01-03'
'friday august 7 1581', '1581-08-07'
'tuesday august 10 1554', '1554-08-10'
'wednesday 20 july 2044', '2044-07-20'
'jan 6 1686', '1686-01-06'
'april 24 1953', '1953-04-24'
'tuesday october 9 1838', '1838-10-09'
'27 may 1556', '1556-05-27'
'may 2 1995', '1995-05-02'
'friday 2030 8 11', '2030-11-08'
'5 july 1986', '1986-07-05'
'december 25 2027', '2027-12-25'
'december 12 2061', '2061-12-12'
'9 apr 1835', '1835-04-09'
'5 june 1543', '1543-06-05'
'wednesday 20 may 1525', '1525-05-20'
'monday january 17 1566', '1566-01-17'
'6 august 1831', '1831-08-06'
'may 26 1798', '1798-05-26'
'friday february 19 1532', '1532-02-19'
'sunday 1699 27 12', '1699-12-27'
'may 15 1902', '1902-05-15'
'february 14 1966', '1966-02-14'
'may 15 1680', '1680-05-15'
'saturday february 25 1690', '1690-02-25'
'january 25 1599', '1599-01-25'
'sat 1 sep 1838', '1838-09-01'
'thursday august 10 1651', '1651-08-10'
'1/4/73', '1573-01-04'
'may 25 1979', '1979-05-25'
'wednesday february 28 2007', '2007-02-28'
'monday 2057 19 11', '2057-11-19'
'1 may 2067', '2067-05-01'
'2024 21 dec', '2024-12-21'
'2 november 1696', '1696-11-02'
'1695 6 dec', '1695-12-06'
'1536 12 apr', '1536-04-12'
'sunday november 13 1757', '1757-11-13'
'april 10 1945', '1945-04-10'
'1867 4 jul', '1867-07-04'
'9 july 2050', '2050-07-09'
'sun 15 jan 1797', '1797-01-15'
'wednesday october 2 1647', '1647-10-02'
'august 30 1912', '1912-08-30'
'4/15/49', '1649-04-15'
'3 feb 1825', '1825-02-03'
'apr 19 1998', '1998-04-19'
'12/4/93', '1693-12-04'
'1585 7 oct', '1585-10-07'
'jun 11 2037', '2037-06-11'
'jul 7 1632', '1632-07-07'
'15 february 1738', '1738-02-15'
'26 april 1538', '1538-04-26'
'september 9 1826', '1826-09-09'
'jun 6 1911', '1911-06-06'
'monday may 15 1876', '1876-05-15'
'february 21 1729', '1729-02-21'
'april 27 1919', '1919-04-27'
'7/4/09', '1809-07-04'
'feb 9 1566', '1566-02-09'
'mar 22 1571', '1571-03-22'
'7/30/25', '2025-07-30'
'april 3 1695', '1695-04-03'
'september 18 2070', '2070-09-18'
'fri 1544 1 december', '1544-12-01'
'19 april 1773', '1773-04-19'
'december 31 1953', '1953-12-31'
'saturday 1686 26 01', '1686-01-26'
'december 29 1665', '1665-12-29'
'20 march 1827', '1827-03-20'
'wed 30 sep 1609', '1609-09-30'
'24 april 1775', '1775-04-24'
'february 22 1753', '1753-02-22'
'oct 3 1794', '1794-10-03'
'4 october 1731', '1731-10-04'
'18 january 1892', '1892-01-18'
'29 may 1848', '1848-05-29'
'aug 4 1682', '1682-08-04'
'1931 14 apr', '1931-04-14'
'august 25 1554', '1554-08-25'
'1778 19 dec', '1778-12-19'
'aug 17 1928', '1928-08-17'
'march 23 1814', '1814-03-23'
'august 4 1828', '1828-08-04'
'9 june 1686', '1686-06-09'
'wednesday 2005 4 05', '2005-05-04'
'07/03/1965', '1965-03-07'
'sun 1638 4 july', '1638-07-04'
'february 25 1924', '1924-02-25'
'18 aug 1723', '1723-08-18'
'14 may 2040', '2040-05-14'
'26 may 1731', '1731-05-26'
'11 july 1839', '1839-07-11'
'thursday august 22 1991', '1991-08-22'
'mar 21 1647', '1647-03-21'
'october 27 1905', '1905-10-27'
'saturday november 27 1830', '1830-11-27'
'january 8 1909', '1909-01-08'
'december 8 1731', '1731-12-08'
'1 april 2017', '2017-04-01'
'sun 1625 17 august', '1625-08-17'
'7 august 1733', '1733-08-07'
'12/9/04', '2004-12-09'
'sunday 1745 3 10', '1745-10-03'
'11/20/36', '1936-11-20'
'friday august 26 2011', '2011-08-26'
'may 20 1831', '1831-05-20'
'august 13 1642', '1642-08-13'
'22 august 1579', '1579-08-22'
'sat 4 may 1974', '1974-05-04'
'thursday 4 january 1917', '1917-01-04'
'saturday march 31 1810', '1810-03-31'
'18 december 1650', '1650-12-18'
'mar 19 1814', '1814-03-19'
'wed 1619 24 april', '1619-04-24'
'3 august 2033', '2033-08-03'
'10/02/1569', '1569-02-10'
'27 november 1953', '1953-11-27'
'sep 27 1701', '1701-09-27'
'january 6 1972', '1972-01-06'
'tuesday 2061 6 09', '2061-09-06'
'3 january 1831', '1831-01-03'
'11 april 1590', '1590-04-11'
'30 august 1586', '1586-08-30'
'11 february 1589', '1589-02-11'
'thursday november 11 1537', '1537-11-11'
'tuesday march 2 1677', '1677-03-02'
'17 october 1848', '1848-10-17'
'21 august 1543', '1543-08-21'
'sunday 1607 2 12', '1607-12-02'
'11 june 1806', '1806-06-11'
'2/20/84', '1584-02-20'
'2 may 1571', '1571-05-02'
'thu 5 aug 1548', '1548-08-05'
'mon 19 may 1586', '1586-05-19'
'december 24 1710', '1710-12-24'
'june 4 1624', '1624-06-04'
'monday february 6 1634', '1634-02-06'
'september 2 2005', '2005-09-02'
'23 mar 1526', '1526-03-23'
'2001 20 mar', '2001-03-20'
'oct 19 1733', '1733-10-19'
'1/24/90', '1890-01-24'
'may 17 1820', '1820-05-17'
'august 31 2023', '2023-08-31'
'wed 11 may 1825', '1825-05-11'
'3/9/57', '1757-03-09'
'november 3 1647', '1647-11-03'
'7 may 1744', '1744-05-07'
'1667 7 oct', '1667-10-07'
'tuesday june 20 1690', '1690-06-20'
'aug 12 1651', '1651-08-12'
'september 14 1953', '1953-09-14'
'7/6/66', '1866-07-06'
'9 july 2059', '2059-07-09'
'friday october 20 1741', '1741-10-20'
'fri 3 aug 1956', '1956-08-03'
'15/02/1535', '1535-02-15'
'february 3 1764', '1764-02-03'
'07/08/2004', '2004-08-07'
'april 9 2012', '2012-04-09'
'1820 30 jul', '1820-07-30'
'monday 24 august 1654', '1654-08-24'
'1746 4 mar', '1746-03-04'
'may 11 1523', '1523-05-11'
'monday november 11 1782', '1782-11-11'
'wednesday 1762 16 06', '1762-06-16'
'nov 6 1796', '1796-11-06'
'may 17 1672', '1672-05-17'
'1736 12 dec', '1736-12-12'
'tue 1752 15 february', '1752-02-15'
'11 september 1847', '1847-09-11'
'13 february 1992', '1992-02-13'
'september 22 1969', '1969-09-22'
'26 june 1885', '1885-06-26'
'thursday 27 july 1522', '1522-07-27'
'1590 8 apr', '1590-04-08'
'tuesday july 12 1735', '1735-07-12'
'october 25 2060', '2060-10-25'
'february 17 1972', '1972-02-17'
'1952 27 oct', '1952-10-27'
'thursday april 24 1947', '1947-04-24'
'26 january 1945', '1945-01-26'
'june 4 1574', '1574-06-04'
'10 may 1940', '1940-05-10'
'tue 1713 28 march', '1713-03-28'
'thursday 1933 23 02', '1933-02-23'
'thursday november 17 2011', '2011-11-17'
'29/04/1592', '1592-04-29'
'friday april 4 1924', '1924-04-04'
'sunday 12 february 1617', '1617-02-12'
'february 13 1575', '1575-02-13'
'14 august 1530', '1530-08-14'
'21 feb 1926', '1926-02-21'
'6/1/95', '1695-06-01'
'tue 1719 13 june', '1719-06-13'
'13/07/1933', '1933-07-13'
'sat 4 jul 2020', '2020-07-04'
'january 23 1730', '1730-01-23'
'5 january 1674', '1674-01-05'
'aug 22 1878', '1878-08-22'
'apr 28 2033', '2033-04-28'
'6 march 1681', '1681-03-06'
'monday 2 august 1599', '1599-08-02'
'27 april 1655', '1655-04-27'
'jul 31 2006', '2006-07-31'
'8 october 1853', '1853-10-08'
'saturday 2 april 1949', '1949-04-02'
'wed 14 mar 1562', '1562-03-14'
'monday february 26 1703', '1703-02-26'
'29 sep 1655', '1655-09-29'
'january 9 1813', '1813-01-09'
'august 20 1955', '1955-08-20'
'wednesday 1961 16 08', '1961-08-16'
'8 november 1653', '1653-11-08'
'december 22 1985', '1985-12-22'
'16/09/2029', '2029-09-16'
'july 18 1811', '1811-07-18'
'7 june 1689', '1689-06-07'
'may 3 1901', '1901-05-03'
'11/4/66', '2066-11-04'
'1539 29 jun', '1539-06-29'
'2040 13 june', '2040-06-13'
'1 march 1929', '1929-03-01'
'nov 25 1886', '1886-11-25'
'1623 27 jul', '1623-07-27'
'20 july 1806', '1806-07-20'
'29 june 1658', '1658-06-29'
'1966 30 nov', '1966-11-30'
'fri 28 aug 1857', '1857-08-28'
'wed 19 mar 1670', '1670-03-19'
'december 11 1884', '1884-12-11'
'sunday july 26 1953', '1953-07-26'
'november 26 1523', '1523-11-26'
'aug 14 1670', '1670-08-14'
'27 july 1787', '1787-07-27'
'5 january 1832', '1832-01-05'
'sep 28 2021', '2021-09-28'
'april 23 1947', '1947-04-23'
'wed 14 oct 1925', '1925-10-14'
'tuesday 1 april 1952', '1952-04-01'
'7 june 1864', '1864-06-07'
'monday july 6 1637', '1637-07-06'
'1663 23 february', '1663-02-23'
'sep 28 1684', '1684-09-28'
'12/12/1712', '1712-12-12'
'mar 24 1896', '1896-03-24'
'sat 27 jan 1917', '1917-01-27'
'26 may 1523', '1523-05-26'
'1/15/57', '1857-01-15'
'august 21 1790', '1790-08-21'
'tue 1903 28 april', '1903-04-28'
'14/08/1982', '1982-08-14'
'july 29 1974', '1974-07-29'
'1541 16 may', '1541-05-16'
'december 19 1994', '1994-12-19'
'may 14 1647', '1647-05-14'
'oct 3 1966', '1966-10-03'
'november 26 1717', '1717-11-26'
'2069 16 april', '2069-04-16'
'1641 11 june', '1641-06-11'
'apr 21 1795', '1795-04-21'
'saturday july 18 1615', '1615-07-18'
'16 may 1973', '1973-05-16'
'8 jul 1713', '1713-07-08'
'1842 23 january', '1842-01-23'
'1923 24 feb', '1923-02-24'
'sunday 27 march 1814', '1814-03-27'
'saturday october 13 1640', '1640-10-13'
'mar 24 1811', '1811-03-24'
'january 22 1856', '1856-01-22'
'oct 24 1690', '1690-10-24'
'jun 3 1999', '1999-06-03'
'10/23/94', '1894-10-23'
'thursday february 28 2008', '2008-02-28'
'dec 13 1837', '1837-12-13'
'13 december 1983', '1983-12-13'
